company,source,statement,unit,page,section,item_raw,item_used,concept,concept_eq,match_score,con_cur,con_prev,sep_cur,sep_prev
KBANK,1Q26_KBank_unreviewed-T.pdf,BS,thousand,2,,เงินสด,เงินสด,BANK_CASH,BANK_CASH,1.0,53524540.0,54048688.0,53288819.0,53728239.0
KBANK,1Q26_KBank_unreviewed-T.pdf,BS,thousand,2,,รายการระหว่างธนาคารและตลาดเงินสุทธิ,รายการระหว่างธนาคารและตลาดเงินสุทธิ,INTERBANK_ASSETS,INTERBANK_ASSETS,1.0,493518672.0,559860991.0,480394035.0,545803994.0
KBANK,1Q26_KBank_unreviewed-T.pdf,BS,thousand,2,,สิ นทรัพย์ทางการเงินทีวัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกําไรหรื อขาดทุน,สิ นทรัพย์ทางการเงินทีวัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกําไรหรื อขาดทุน,FVTPL_ASSETS,FVTPL_ASSETS,1.0,46459812.0,53146464.0,13218412.0,19509013.0
KBANK,1Q26_KBank_unreviewed-T.pdf,BS,thousand,2,,สิ นทรัพย์อนุพนั ธ์,สิ นทรัพย์อนุพนั ธ์,DERIVATIVE_ASSETS,DERIVATIVE_ASSETS,1.0,63918022.0,59449766.0,57668025.0,51807016.0
KBANK,1Q26_KBank_unreviewed-T.pdf,BS,thousand,2,,เงินลงทุนสุทธิ,เงินลงทุนสุทธิ,INVESTMENTS_NET,INVESTMENTS_NET,1.0,1305652344.0,1248260347.0,680199939.0,572139718.0
KBANK,1Q26_KBank_unreviewed-T.pdf,BS,thousand,2,,เงินลงทุนในบริ ษทั ย่อย บริ ษทั ร่ วมและการร่ วมค้าสุ ทธิ,เงินลงทุนในบริ ษทั ย่อย บริ ษทั ร่ วมและการร่ วมค้าสุ ทธิ,INVEST_SUB_ASSOC_JV,INVEST_SUB_ASSOC_JV,1.0,15330880.0,15001201.0,101900703.0,100316205.0
KBANK,1Q26_KBank_unreviewed-T.pdf,BS,thousand,2,,เงินให้สินเชื อแก่ลูกหนีและดอกเบียค้างรับสุ ทธิ,เงินให้สินเชื อแก่ลูกหนีและดอกเบียค้างรับสุ ทธิ,LOANS_NET,LOANS_NET,1.0,2322085157.0,2352770246.0,2221864980.0,2250652161.0
KBANK,1Q26_KBank_unreviewed-T.pdf,BS,thousand,2,,ทรัพย์สินรอการขายสุทธิ,ทรัพย์สินรอการขายสุทธิ,FORECLOSED_ASSETS,FORECLOSED_ASSETS,1.0,57707724.0,58177447.0,56218242.0,56608769.0
KBANK,1Q26_KBank_unreviewed-T.pdf,BS,thousand,2,,ทีดิน อาคารและอุปกรณ์สุทธิ,ทีดิน อาคารและอุปกรณ์สุทธิ,PPE,PPE,1.0,58467602.0,59234695.0,44082508.0,44878478.0
KBANK,1Q26_KBank_unreviewed-T.pdf,BS,thousand,2,,ค่าความนิ ยมและสิ นทรัพย์ไม่มีตวั ตนอืนสุทธิ,ค่าความนิ ยมและสิ นทรัพย์ไม่มีตวั ตนอืนสุทธิ,GOODWILL_INTANGIBLES,GOODWILL_INTANGIBLES,1.0,31413588.0,31514366.0,19322125.0,19519140.0
KBANK,1Q26_KBank_unreviewed-T.pdf,BS,thousand,2,,สิ นทรัพย์ภาษีเงินได้รอการตัดบัญชี,สิ นทรัพย์ภาษีเงินได้รอการตัดบัญชี,DEFERRED_TAX_ASSETS,DEFERRED_TAX_ASSETS,1.0,7332816.0,7204578.0,4752975.0,4691243.0
KBANK,1Q26_KBank_unreviewed-T.pdf,BS,thousand,2,,หลักประกันลูกหนีตามสัญญาเครดิตซัพพอร์ ทแอนเน็กซ์,หลักประกันลูกหนีตามสัญญาเครดิตซัพพอร์ ทแอนเน็กซ์,CSA_COLLATERAL,CSA_COLLATERAL,1.0,21121144.0,1409862.0,22669144.0,2957862.0
KBANK,1Q26_KBank_unreviewed-T.pdf,BS,thousand,2,,สิ นทรัพย์อืนสุทธิ,สิ นทรัพย์อืนสุทธิ,OTHER_ASSETS_NET,OTHER_ASSETS_NET,1.0,63426193.0,58539423.0,36992040.0,36501594.0
KBANK,1Q26_KBank_unreviewed-T.pdf,BS,thousand,2,,รวมสิ นทรัพย์,รวมสิ นทรัพย์,TOTAL_ASSETS,TOTAL_ASSETS,1.0,4539958494.0,4558618074.0,3792571947.0,3759113432.0
KBANK,1Q26_KBank_unreviewed-T.pdf,BS,thousand,2,,เงินรับฝาก,เงินรับฝาก,DEPOSITS,DEPOSITS,1.0,2899400888.0,2850386698.0,2858877852.0,2808793133.0
KBANK,1Q26_KBank_unreviewed-T.pdf,BS,thousand,2,,รายการระหว่างธนาคารและตลาดเงิน,รายการระหว่างธนาคารและตลาดเงิน,INTERBANK_LIAB,INTERBANK_LIAB,1.0,201344712.0,207481928.0,182879472.0,188293589.0
KBANK,1Q26_KBank_unreviewed-T.pdf,BS,thousand,2,,หนี สิ นจ่ายคืนเมือทวงถาม,หนี สิ นจ่ายคืนเมือทวงถาม,PAYABLE_ON_DEMAND,PAYABLE_ON_DEMAND,1.0,27524312.0,33877764.0,27534281.0,34232869.0
KBANK,1Q26_KBank_unreviewed-T.pdf,BS,thousand,2,,หนี สิ นทางการเงินทีวัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกําไรหรื อขาดทุน,หนี สิ นทางการเงินทีวัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกําไรหรื อขาดทุน,FVTPL_LIAB,FVTPL_LIAB,1.0,1549981.0,1171985.0,9800.0,
KBANK,1Q26_KBank_unreviewed-T.pdf,BS,thousand,2,,หนี สิ นอนุพนั ธ์,หนี สิ นอนุพนั ธ์,DERIVATIVE_LIAB,DERIVATIVE_LIAB,1.0,49637910.0,38744967.0,50590369.0,39992283.0
KBANK,1Q26_KBank_unreviewed-T.pdf,BS,thousand,2,,ตราสารหนี ทีออกและเงินกูย้ ืม,ตราสารหนี ทีออกและเงินกูย้ ืม,DEBT_ISSUED_BORROWINGS,DEBT_ISSUED_BORROWINGS,1.0,67337253.0,64477787.0,56174810.0,54052069.0
KBANK,1Q26_KBank_unreviewed-T.pdf,BS,thousand,2,,ประมาณการหนีสิ น,ประมาณการหนีสิ น,PROVISIONS,PROVISIONS,1.0,32643361.0,34316841.0,28859315.0,30625287.0
KBANK,1Q26_KBank_unreviewed-T.pdf,BS,thousand,2,,หนี สิ นภาษีเงินได้รอการตัดบัญชี,หนี สิ นภาษีเงินได้รอการตัดบัญชี,DEFERRED_TAX_LIAB,DEFERRED_TAX_LIAB,1.0,6676117.0,9381118.0,,
KBANK,1Q26_KBank_unreviewed-T.pdf,BS,thousand,2,,หนี สิ นจากสัญญาประกันภัย,หนี สิ นจากสัญญาประกันภัย,INSURANCE_CONTRACT_LIAB,INSURANCE_CONTRACT_LIAB,1.0,468984369.0,515895583.0,,
KBANK,1Q26_KBank_unreviewed-T.pdf,BS,thousand,2,,หนี สิ นอืน,หนี สิ นอืน,OTHER_LIAB,OTHER_LIAB,1.0,109528726.0,129115315.0,69050944.0,91208650.0
KBANK,1Q26_KBank_unreviewed-T.pdf,BS,thousand,2,,รวมหนีสิ น,รวมหนีสิ น,TOTAL_LIABILITIES,TOTAL_LIABILITIES,1.0,3864627629.0,3884849986.0,3273976843.0,3247197880.0
KBANK,1Q26_KBank_unreviewed-T.pdf,BS,thousand,2,ทุนจดทะเบียน,"หุน้ สามัญ 3,024,682,097 หุน้ มูลค่าหุน้ ละ 10 บาท","หุน้ สามัญ 3,024,682,097 หุน้ มูลค่าหุน้ ละ 10 บาท",REGISTERED_CAPITAL_DESC,REGISTERED_CAPITAL_DESC,1.0,30246821.0,30246821.0,30246821.0,30246821.0
KBANK,1Q26_KBank_unreviewed-T.pdf,BS,thousand,2,ทุนที่ออกและชำระแล้ว,"หุน้ สามัญ 2,369,327,593 หุน้ มูลค่าหุน้ ละ 10 บาท","ทุนที่ออกและชำระแล้ว หุน้ สามัญ 2,369,327,593 หุน้ มูลค่าหุน้ ละ 10 บาท",SHARE_CAPITAL_DESC,SHARE_CAPITAL_DESC,1.0,23693276.0,23693276.0,23693276.0,23693276.0
KBANK,1Q26_KBank_unreviewed-T.pdf,BS,thousand,2,ทุนที่ออกและชำระแล้ว,ส่วนเกินมูลค่าหุน้ สามัญ,ส่วนเกินมูลค่าหุน้ สามัญ,SHARE_PREMIUM,SHARE_PREMIUM,1.0,18103110.0,18103110.0,18103110.0,18103110.0
KBANK,1Q26_KBank_unreviewed-T.pdf,BS,thousand,2,ทุนที่ออกและชำระแล้ว,ส่วนเกินจากการเปลียนแปลงสัดส่ วนการลงทุน/ส่วนได้เสี ยในบริ ษทั ย่อย,ส่วนเกินจากการเปลียนแปลงสัดส่ วนการลงทุน/ส่วนได้เสี ยในบริ ษทั ย่อย,OWNERSHIP_CHANGE_RESERVE,OWNERSHIP_CHANGE_RESERVE,1.0,107740.0,107740.0,,
KBANK,1Q26_KBank_unreviewed-T.pdf,BS,thousand,2,ทุนที่ออกและชำระแล้ว,องค์ประกอบอืนของส่วนของเจ้าของ,องค์ประกอบอืนของส่วนของเจ้าของ,OTHER_EQUITY_COMPONENTS,OTHER_EQUITY_COMPONENTS,1.0,26889654.0,36801119.0,21788989.0,27860355.0
KBANK,1Q26_KBank_unreviewed-T.pdf,BS,thousand,2,ทุนที่ออกและชำระแล้ว,ทุนสํารองตามกฎหมาย,ทุนสํารองตามกฎหมาย,LEGAL_RESERVE,LEGAL_RESERVE,1.0,3050000.0,3050000.0,3050000.0,3050000.0
KBANK,1Q26_KBank_unreviewed-T.pdf,BS,thousand,2,ทุนที่ออกและชำระแล้ว,สํารองหุน้ ทุนซื อคืน,สํารองหุน้ ทุนซื อคืน,TREASURY_SHARE_RESERVE,TREASURY_SHARE_RESERVE,1.0,3479843.0,2554778.0,3479843.0,2554778.0
KBANK,1Q26_KBank_unreviewed-T.pdf,BS,thousand,2,ทุนที่ออกและชำระแล้ว,ยังไม่ได้จดั สรร,ยังไม่ได้จดั สรร,RETAINED_EARNINGS,RETAINED_EARNINGS,1.0,515080756.0,499391063.0,451959729.0,439208811.0
KBANK,1Q26_KBank_unreviewed-T.pdf,BS,thousand,2,ทุนที่ออกและชำระแล้ว,หัก หุน้ ทุนซือคืน,หัก หุน้ ทุนซือคืน,TREASURY_STOCK,TREASURY_STOCK,1.0,-3479843.0,-2554778.0,-3479843.0,-2554778.0
