concept,alias,note
TOTAL_ASSETS,รวมสินทรัพย์,
TOTAL_CURRENT_ASSETS,รวมสินทรัพย์หมุนเวียน,
TOTAL_NONCURRENT_ASSETS,รวมสินทรัพย์ไม่หมุนเวียน,
TOTAL_LIABILITIES,รวมหนี้สิน,
TOTAL_CURRENT_LIAB,รวมหนี้สินหมุนเวียน,
TOTAL_NONCURRENT_LIAB,รวมหนี้สินไม่หมุนเวียน,
TOTAL_EQUITY,รวมส่วนของผู้ถือหุ้น,
TOTAL_EQUITY,รวมส่วนของเจ้าของ,IIG ใช้แบบนี้
TOTAL_EQUITY,รวมส่วนของผู้เป็นเจ้าของ,
EQUITY_PARENT,ส่วนของผู้ถือหุ้นของบริษัทฯ,
EQUITY_PARENT,รวมส่วนของผู้ถือหุ้นของบริษัท,
EQUITY_PARENT,ส่วนของผู้ถือหุ้นของบริษัท,
TOTAL_LIAB_EQUITY,รวมหนี้สินและส่วนของผู้ถือหุ้น,
TOTAL_LIAB_EQUITY,รวมหนี้สินและส่วนของเจ้าของ,
TOTAL_LIAB_EQUITY,รวมหนี้สินและส่วนของผู้เป็นเจ้าของ,
CASH,เงินสดและรายการเทียบเท่าเงินสด,
SHORT_TERM_INVEST,เงินลงทุนชั่วคราว,
SHORT_TERM_INVEST,เงินลงทุนในสินทรัพย์ทางการเงินระยะสั้น,
RESTRICTED_DEPOSITS,เงินฝากธนาคารที่มีข้อจำกัดการใช้,
RESTRICTED_DEPOSITS,เงินฝากธนาคารที่มีภาระค้ำประกัน,
RESTRICTED_DEPOSITS,เงินฝากสถาบันการเงินที่มีภาระผูกพัน,
TRADE_RECEIVABLES,ลูกหนี้การค้า,
TRADE_RECEIVABLES,ลูกหนี้การค้าและลูกหนี้หมุนเวียนอื่น,
TRADE_RECEIVABLES,ลูกหนี้การค้าและลูกหนี้อื่น,
OTHER_RECEIVABLES,ลูกหนี้หมุนเวียนอื่น,
UNBILLED_REVENUE,รายได้ที่ยังไม่เรียกชำระ,
UNBILLED_REVENUE,รายได้ที่ยังไม่ได้เรียกชำระ,
CONTRACT_ASSETS,สินทรัพย์ที่เกิดจากสัญญา,
SHORT_TERM_LOANS_RELATED,เงินให้กู้ยืมระยะสั้นแก่บริษัทย่อย,
SHORT_TERM_LOANS_RELATED,เงินให้กู้ยืมระยะสั้นแก่กิจการที่เกี่ยวข้องกัน,
INVENTORY,สินค้าคงเหลือ,
INVENTORY,สินค้าและพัสดุคงเหลือ,PTT OR
WIP,งานบริการระหว่างทำ,BBIK
WIP,ต้นทุนงานระหว่างทำ,MFEC
PREPAID_SERVICE_COST,ต้นทุนบริการและค่าใช้จ่ายอื่นจ่ายล่วงหน้า,GABLE
PREPAID_SERVICE_COST,ต้นทุนงานบริการจ่ายล่วงหน้า,MFEC
CONTRACT_ACQUISITION_COST,ต้นทุนในการได้มาซึ่งสัญญาที่ทำกับลูกค้า,
CURRENT_TAX_ASSETS,สินทรัพย์ภาษีเงินได้ของงวดปัจจุบัน,
CURRENT_TAX_ASSETS,สินทรัพย์ภาษีเงินได้ของงวดก่อน,
WHT_ASSETS,ภาษีเงินได้หัก ณ ที่จ่าย,
OTHER_CURRENT_FIN_ASSETS,สินทรัพย์ทางการเงินหมุนเวียนอื่น,
OTHER_CURRENT_ASSETS,สินทรัพย์หมุนเวียนอื่น,
INVEST_SUBSIDIARY,เงินลงทุนในบริษัทย่อย,
INVEST_ASSOCIATE,เงินลงทุนในบริษัทร่วม,
INVEST_ASSOCIATE,เงินลงทุนในบริษัทร่วมและการร่วมค้า,
INVEST_JV,เงินลงทุนในการร่วมค้า,
OTHER_NONCURRENT_FIN_ASSETS,สินทรัพย์ทางการเงินไม่หมุนเวียนอื่น,
PPE,ที่ดิน อาคารและอุปกรณ์,
PPE,อุปกรณ์,GABLE
PPE,ส่วนปรับปรุงอาคารและอุปกรณ์,MFEC
PPE,ส่วนปรับปรุงอาคารเช่าและอุปกรณ์,BBIK
RIGHT_OF_USE,สินทรัพย์สิทธิการใช้,
GOODWILL,ค่าความนิยม,
INTANGIBLES,สินทรัพย์ไม่มีตัวตน,
INTANGIBLES,สินทรัพย์ไม่มีตัวตนอื่น,
INTANGIBLES,สินทรัพย์ไม่มีตัวตนอื่นนอกจากค่าความนิยม,
DEFERRED_TAX_ASSETS,สินทรัพย์ภาษีเงินได้รอการตัดบัญชี,
DEFERRED_TAX_ASSETS,สินทรัพย์ภาษีเงินได้รอตัดบัญชี,BBIK สะกดสั้นกว่า
OTHER_NONCURRENT_ASSETS,สินทรัพย์ไม่หมุนเวียนอื่น,
BANK_OVERDRAFT,เงินเบิกเกินบัญชีจากสถาบันการเงิน,
SHORT_TERM_BORROWINGS,เงินกู้ยืมระยะสั้นจากสถาบันการเงิน,
TRADE_PAYABLES,เจ้าหนี้การค้า,
TRADE_PAYABLES,เจ้าหนี้การค้าและเจ้าหนี้หมุนเวียนอื่น,
TRADE_PAYABLES,เจ้าหนี้การค้าและเจ้าหนี้อื่น,
OTHER_PAYABLES,เจ้าหนี้อื่น,
OTHER_PAYABLES,เจ้าหนี้หมุนเวียนอื่น,
CONTRACT_LIABILITIES,หนี้สินที่เกิดจากสัญญา,
DEFERRED_REVENUE,รายได้รับล่วงหน้า,
ACCRUED_EXPENSES,ค่าใช้จ่ายค้างจ่าย,
INCOME_TAX_PAYABLE,ภาษีเงินได้นิติบุคคลค้างจ่าย,
INCOME_TAX_PAYABLE,ภาษีเงินได้ค้างจ่าย,
WARRANTY_PROVISION,ประมาณการรับประกันคุณภาพงาน,
OTHER_CURRENT_LIAB,หนี้สินหมุนเวียนอื่น,
OTHER_CURRENT_FIN_LIAB,หนี้สินทางการเงินหมุนเวียนอื่น,
LEASE_LIABILITIES,หนี้สินตามสัญญาเช่า,
EMPLOYEE_BENEFIT_PROVISION,ประมาณการหนี้สินสำหรับผลประโยชน์พนักงาน,
EMPLOYEE_BENEFIT_PROVISION,ประมาณการหนี้สินไม่หมุนเวียนสำหรับผลประโยชน์พนักงาน,
DECOMMISSIONING_PROVISION,ประมาณการหนี้สินจากการรื้อถอน,
DECOMMISSIONING_PROVISION,ประมาณการต้นทุนการรื้อถอน,
OTHER_NONCURRENT_LIAB,หนี้สินไม่หมุนเวียนอื่น,
SHARE_CAPITAL,ทุนออกจำหน่ายและชำระเต็มมูลค่าแล้ว,
SHARE_CAPITAL,ทุนที่ออกและชำระแล้ว,
SHARE_CAPITAL,ทุนออกจำหน่ายและชำระแล้ว,
REGISTERED_CAPITAL,ทุนจดทะเบียน,
SHARE_PREMIUM,ส่วนเกินมูลค่าหุ้นสามัญ,
SHARE_PREMIUM,ส่วนเกินมูลค่าหุ้น,
SHARE_SWAP_SURPLUS,ส่วนเกินทุนจากการแลกหุ้น,BBIK
BUSINESS_COMBINATION_SURPLUS,ส่วนเกินจากการรวมธุรกิจภายใต้การควบคุมเดียวกัน,
BUSINESS_COMBINATION_SURPLUS,ส่วนต่ำกว่าทุนจากการรวมธุรกิจภายใต้การควบคุมเดียวกัน,
SHARE_BASED_PAYMENT_RESERVE,สำรองส่วนทุนจากการจ่ายโดยใช้หุ้นเป็นเกณฑ์,
SHARE_BASED_PAYMENT_RESERVE,ส่วนเกินทุนจากการจ่ายโดยใช้หุ้นเป็นเกณฑ์,
